


         Node(  1)          Node(  2)          Node(

 time    Theta               Theta            
     1.0000     0.2479     0.2484
     2.0000     0.2461     0.2468
     3.0000     0.2435     0.2446
     4.0000     0.2421     0.2434
     5.0000     0.2402     0.2422
     6.0000     0.2391     0.2421
     7.0000     0.2403     0.2441
     8.0000     0.2439     0.2480
     9.0000     0.2480     0.2521
    10.0000     0.2535     0.2571
    11.0000     0.2583     0.2615
    12.0000     0.2632     0.2659
    13.0000     0.2665     0.2689
    14.0000     0.2702     0.2722
    15.0000     0.2735     0.2752
    16.0000     0.2767     0.2782
    17.0000     0.3019     0.3022
    18.0000     0.3018     0.3020
    19.0000     0.2998     0.3001
    20.0000     0.2988     0.2992
    21.0000     0.2978     0.2982
    22.0000     0.2964     0.2969
    23.0000     0.2905     0.2916
    24.0000     0.2885     0.2897
    25.0000     0.2887     0.2897
    26.0000     0.2896     0.2905
    27.0000     0.3020     0.3022
    28.0000     0.2948     0.2956
    29.0000     0.2947     0.2953
    30.0000     0.2923     0.2932
    31.0000     0.2913     0.2922
    32.0000     0.2902     0.2912
    33.0000     0.2880     0.2892
    34.0000     0.2850     0.2866
    35.0000     0.2847     0.2862
    36.0000     0.2832     0.2849
    37.0000     0.2987     0.2992
    38.0000     0.2962     0.2968
    39.0000     0.2923     0.2933
    40.0000     0.2904     0.2914
    41.0000     0.2885     0.2897
    42.0000     0.2878     0.2890
    43.0000     0.2848     0.2864
    44.0000     0.2837     0.2854
    45.0000     0.2840     0.2855
    46.0000     0.2785     0.2810
    47.0000     0.2755     0.2784
    48.0000     0.2683     0.2725
    49.0000     0.2693     0.2730
    50.0000     0.2673     0.2714
    51.0000     0.2611     0.2667
    52.0000     0.2524     0.2596
    53.0000     0.2489     0.2576
    54.0000     0.2440     0.2538
    55.0000     0.2377     0.2490
    56.0000     0.2364     0.2490
    57.0000     0.2360     0.2487
    58.0000     0.2334     0.2468
    59.0000     0.2351     0.2477
    60.0000     0.2270     0.2404
    61.0000     0.2220     0.2381
    62.0000     0.2514     0.2520
    63.0000     0.2374     0.2452
    64.0000     0.2798     0.2809
    65.0000     0.2627     0.2662
    66.0000     0.2463     0.2520
    67.0000     0.2328     0.2418
    68.0000     0.2178     0.2274
    69.0000     0.2044     0.2172
    70.0000     0.1946     0.2137
    71.0000     0.1881     0.2137
    72.0000     0.2884     0.2898
    73.0000     0.2739     0.2769
    74.0000     0.2566     0.2610
    75.0000     0.2383     0.2440
    76.0000     0.2244     0.2343
    77.0000     0.2122     0.2257
    78.0000     0.2020     0.2201
    79.0000     0.1953     0.2188
    80.0000     0.1938     0.2221
    81.0000     0.2812     0.2828
    82.0000     0.2613     0.2647
    83.0000     0.2440     0.2498
    84.0000     0.2278     0.2357
    85.0000     0.2138     0.2252
    86.0000     0.2006     0.2140
    87.0000     0.1891     0.2067
    88.0000     0.1821     0.2081
    89.0000     0.1800     0.2130
    90.0000     0.1819     0.2179
    91.0000     0.1866     0.2222
    92.0000     0.1930     0.2258
    93.0000     0.2006     0.2291
    94.0000     0.2084     0.2324
    95.0000     0.2162     0.2358
    96.0000     0.2232     0.2391
    97.0000     0.2297     0.2426
    98.0000     0.2789     0.2803
    99.0000     0.2582     0.2616
   100.0000     0.2400     0.2457
   101.0000     0.2219     0.2284
   102.0000     0.2073     0.2180
   103.0000     0.1991     0.2179
   104.0000     0.2765     0.2776
   105.0000     0.2525     0.2550
   106.0000     0.2747     0.2754
   107.0000     0.2487     0.2502
   108.0000     0.2329     0.2390
   109.0000     0.2772     0.2784
   110.0000     0.2543     0.2572
   111.0000     0.2337     0.2381
   112.0000     0.2151     0.2210
   113.0000     0.1989     0.2070
   114.0000     0.1873     0.2026
   115.0000     0.1803     0.2048
   116.0000     0.2760     0.2770
   117.0000     0.2734     0.2740
   118.0000     0.2476     0.2491
   119.0000     0.2248     0.2266
   120.0000     0.2539     0.2488
   121.0000     0.2759     0.2770
   122.0000     0.2504     0.2521
   123.0000     0.2280     0.2307
   124.0000     0.2620     0.2595
   125.0000     0.2340     0.2331
   126.0000     0.2120     0.2128
   127.0000     0.1951     0.2007
   128.0000     0.1824     0.1938
   129.0000     0.1728     0.1918
   130.0000     0.1664     0.1945
   131.0000     0.2312     0.2135
   132.0000     0.2737     0.2743
   133.0000     0.2477     0.2491
   134.0000     0.2258     0.2288
   135.0000     0.2117     0.2207
   136.0000     0.2713     0.2709
   137.0000     0.2729     0.2730
   138.0000     0.2475     0.2492
   139.0000     0.2760     0.2771
   140.0000     0.2517     0.2540
   141.0000     0.2296     0.2327
   142.0000     0.2672     0.2660
   143.0000     0.2437     0.2455
   144.0000     0.2697     0.2691
   145.0000     0.2578     0.2594
   146.0000     0.2746     0.2755
   147.0000     0.2486     0.2499
   148.0000     0.2658     0.2643
   149.0000     0.2391     0.2396
   150.0000     0.2229     0.2284
   151.0000     0.2130     0.2237
   152.0000     0.2086     0.2230
   153.0000     0.2076     0.2245
   154.0000     0.2092     0.2273
   155.0000     0.2131     0.2308
   156.0000     0.2570     0.2546
   157.0000     0.2727     0.2731
   158.0000     0.2620     0.2648
   159.0000     0.2610     0.2639
   160.0000     0.2737     0.2744
   161.0000     0.2713     0.2727
   162.0000     0.2708     0.2725
   163.0000     0.2711     0.2730
   164.0000     0.2721     0.2740
   165.0000     0.2731     0.2736
   166.0000     0.2701     0.2715
   167.0000     0.2707     0.2720
   168.0000     0.2735     0.2741
   169.0000     0.2473     0.2486
   170.0000     0.2728     0.2733
   171.0000     0.2548     0.2537
   172.0000     0.2294     0.2298
   173.0000     0.2087     0.2108
   174.0000     0.1928     0.1998
   175.0000     0.1811     0.1943
   176.0000     0.1729     0.1939
   177.0000     0.1689     0.1976
   178.0000     0.1680     0.2035
   179.0000     0.1705     0.2101
   180.0000     0.1755     0.2161
   181.0000     0.1830     0.2212
   182.0000     0.1918     0.2255
   183.0000     0.2312     0.2308
   184.0000     0.2284     0.2365
   185.0000     0.2310     0.2408
   186.0000     0.2728     0.2731
   187.0000     0.2588     0.2621
   188.0000     0.2588     0.2620
   189.0000     0.2601     0.2633
   190.0000     0.2621     0.2652
   191.0000     0.2735     0.2741
   192.0000     0.2728     0.2732
   193.0000     0.2725     0.2728
   194.0000     0.2758     0.2768
   195.0000     0.2503     0.2520
   196.0000     0.2580     0.2550
   197.0000     0.2302     0.2288
   198.0000     0.2083     0.2082
   199.0000     0.2498     0.2428
   200.0000     0.2231     0.2203
   201.0000     0.2041     0.2057
   202.0000     0.1895     0.1958
   203.0000     0.1777     0.1896
   204.0000     0.1685     0.1876
   205.0000     0.1621     0.1892
   206.0000     0.2565     0.2524
   207.0000     0.2347     0.2362
   208.0000     0.2241     0.2302
   209.0000     0.2179     0.2277
   210.0000     0.2146     0.2274
   211.0000     0.2306     0.2304
   212.0000     0.2736     0.2743
   213.0000     0.2480     0.2495
   214.0000     0.2348     0.2412
   215.0000     0.2743     0.2751
   216.0000     0.2735     0.2740
   217.0000     0.2487     0.2507
   218.0000     0.2374     0.2441
   219.0000     0.2794     0.2808
   220.0000     0.2542     0.2560
   221.0000     0.2352     0.2402
   222.0000     0.2744     0.2752
   223.0000     0.2502     0.2525
   224.0000     0.2738     0.2745
   225.0000     0.2732     0.2737
   226.0000     0.2740     0.2747
   227.0000     0.2781     0.2794
   228.0000     0.2537     0.2559
   229.0000     0.2312     0.2340
   230.0000     0.2111     0.2143
   231.0000     0.1935     0.1975
   232.0000     0.2544     0.2489
   233.0000     0.2361     0.2298
   234.0000     0.2821     0.2836
   235.0000     0.2603     0.2632
   236.0000     0.2746     0.2754
   237.0000     0.2506     0.2529
   238.0000     0.2629     0.2612
   239.0000     0.2367     0.2375
   240.0000     0.2731     0.2735
   241.0000     0.2660     0.2650
   242.0000     0.2421     0.2441
   243.0000     0.2287     0.2361
   244.0000     0.2216     0.2332
   245.0000     0.2184     0.2327
   246.0000     0.2176     0.2334
   247.0000     0.2732     0.2734
   248.0000     0.2492     0.2513
   249.0000     0.2414     0.2473
   250.0000     0.2768     0.2779
   251.0000     0.2524     0.2546
   252.0000     0.2410     0.2478
   253.0000     0.2391     0.2473
   254.0000     0.2796     0.2806
   255.0000     0.2571     0.2598
   256.0000     0.2485     0.2549
   257.0000     0.2491     0.2555
   258.0000     0.2774     0.2786
   259.0000     0.2666     0.2665
   260.0000     0.2424     0.2447
   261.0000     0.2768     0.2780
   262.0000     0.2608     0.2610
   263.0000     0.2369     0.2392
   264.0000     0.2174     0.2223
   265.0000     0.2041     0.2157
   266.0000     0.1974     0.2164
   267.0000     0.1964     0.2198
   268.0000     0.1990     0.2239
   269.0000     0.2042     0.2280
   270.0000     0.2108     0.2319
   271.0000     0.2178     0.2356
   272.0000     0.2734     0.2737
   273.0000     0.2514     0.2543
   274.0000     0.2486     0.2538
   275.0000     0.2505     0.2558
   276.0000     0.2536     0.2584
   277.0000     0.2572     0.2613
   278.0000     0.2605     0.2641
   279.0000     0.2636     0.2667
   280.0000     0.2665     0.2692
   281.0000     0.2692     0.2715
   282.0000     0.2717     0.2737
   283.0000     0.2738     0.2757
   284.0000     0.2758     0.2775
   285.0000     0.2777     0.2792
   286.0000     0.2794     0.2808
   287.0000     0.2811     0.2823
   288.0000     0.2825     0.2836
   289.0000     0.2838     0.2848
   290.0000     0.2851     0.2860
   291.0000     0.2862     0.2871
   292.0000     0.2873     0.2881
   293.0000     0.2883     0.2890
   294.0000     0.2892     0.2899
   295.0000     0.2900     0.2907
   296.0000     0.2908     0.2914
   297.0000     0.2915     0.2921
   298.0000     0.2921     0.2927
   299.0000     0.2926     0.2932
   300.0000     0.2932     0.2937
   301.0000     0.2936     0.2941
   302.0000     0.2941     0.2945
   303.0000     0.2945     0.2949
   304.0000     0.2948     0.2952
   305.0000     0.2899     0.2913
   306.0000     0.2749     0.2778
   307.0000     0.2667     0.2712
   308.0000     0.2613     0.2670
   309.0000     0.2482     0.2550
   310.0000     0.2373     0.2471
   311.0000     0.2397     0.2502
   312.0000     0.2458     0.2542
   313.0000     0.2522     0.2585
   314.0000     0.2968     0.2974
   315.0000     0.2884     0.2899
   316.0000     0.2780     0.2807
   317.0000     0.2774     0.2798
   318.0000     0.2781     0.2802
   319.0000     0.2758     0.2782
   320.0000     0.2741     0.2767
   321.0000     0.2745     0.2769
   322.0000     0.2690     0.2725
   323.0000     0.2712     0.2739
   324.0000     0.2740     0.2761
   325.0000     0.2765     0.2782
   326.0000     0.2789     0.2803
   327.0000     0.2812     0.2824
   328.0000     0.2831     0.2842
   329.0000     0.2849     0.2858
   330.0000     0.2866     0.2875
   331.0000     0.2881     0.2888
   332.0000     0.2894     0.2901
   333.0000     0.2907     0.2912
   334.0000     0.2918     0.2923
   335.0000     0.2927     0.2932
   336.0000     0.2935     0.2940
   337.0000     0.2978     0.2984
   338.0000     0.2936     0.2944
   339.0000     0.2942     0.2947
   340.0000     0.2944     0.2949
   341.0000     0.2939     0.2944
   342.0000     0.2923     0.2930
   343.0000     0.2904     0.2913
   344.0000     0.2893     0.2901
   345.0000     0.2897     0.2905
   346.0000     0.2900     0.2907
   347.0000     0.2911     0.2917
   348.0000     0.2921     0.2926
   349.0000     0.2930     0.2935
   350.0000     0.2939     0.2943
   351.0000     0.2946     0.2950
   352.0000     0.2954     0.2957
   353.0000     0.2959     0.2963
   354.0000     0.2964     0.2967
   355.0000     0.2970     0.2973
   356.0000     0.2934     0.2945
   357.0000     0.2945     0.2955
   358.0000     0.2978     0.2984
   359.0000     0.2958     0.2964
   360.0000     0.2946     0.2953
   361.0000     0.2925     0.2933
   362.0000     0.2926     0.2933
   363.0000     0.2925     0.2933
   364.0000     0.2902     0.2912
   365.0000     0.2950     0.2958
